OTUs,Domain,Phylum,Class,Order,Family,Genus
C123,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
C124,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium
C125,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C126,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C127,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas
C128,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium
C129,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
C130,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C131,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
C132,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus
C133,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
C134,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C135,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,
C136,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C137,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C138,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C139,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unclassified_Porphyromonadaceae
C140,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
C141,Bacteria,unclassified_Bacteria,,,,
C142,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C143,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C144,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C145,Bacteria,unclassified_Bacteria,,,,
C146,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C147,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema
C148,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C149,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C150,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium
C151,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C152,Bacteria,unclassified_Bacteria,,,,
C153,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,unclassified_Sphingobacteriaceae
C154,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C155,Bacteria,unclassified_Bacteria,,,,
C156,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C157,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium
C158,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C159,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella
C160,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C161,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C162,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_2,unclassified_Clostridiaceae_2
C163,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C164,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C165,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVb
C166,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C167,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
C168,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas
C169,Bacteria,unclassified_Bacteria,,,,
C170,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Clostridium_XVIII
C171,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C172,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C173,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C174,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
C175,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C176,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C177,Bacteria,unclassified_Bacteria,,,,
C178,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C179,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C180,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,unclassified_Rhodocyclaceae
C181,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,unclassified_Clostridiales_Incertae_Sedis_XIII
C182,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
C183,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C184,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C185,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV
C186,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C187,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C188,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C189,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia
C190,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
C191,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C192,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XII,Guggenheimella
C193,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis
C194,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
C195,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter
C196,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C197,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae_2,unclassified_Peptococcaceae_2
C198,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema
C199,Bacteria,unclassified_Bacteria,,,,
C200,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Proteiniphilum
C201,Bacteria,unclassified_Bacteria,,,,
C202,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix
C203,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C204,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,unclassified_Syntrophomonadaceae
C205,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C206,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C207,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_III
C208,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C209,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C210,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C211,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C212,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C213,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C214,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified_Erysipelotrichaceae
